split,class,source,path
train,bare_pcb,deeppcb,/home/vector/Documents/abdullah_workspace/PCB_Defect_Dectection/pcb_vs_pcba_dataset/train/bare_pcb/deeppcb_90100005_temp_0.jpg
train,bare_pcb,deeppcb,/home/vector/Documents/abdullah_workspace/PCB_Defect_Dectection/pcb_vs_pcba_dataset/train/bare_pcb/deeppcb_92000033_test_1.jpg
train,bare_pcb,pku,/home/vector/Documents/abdullah_workspace/PCB_Defect_Dectection/pcb_vs_pcba_dataset/train/bare_pcb/pku_07_open_circuit_03_2.jpg
train,bare_pcb,deeppcb,/home/vector/Documents/abdullah_workspace/PCB_Defect_Dectection/pcb_vs_pcba_dataset/train/bare_pcb/deeppcb_50600028_temp_3.jpg
train,bare_pcb,deeppcb,/home/vector/Documents/abdullah_workspace/PCB_Defect_Dectection/pcb_vs_pcba_dataset/train/bare_pcb/deeppcb_20085155_test_4.jpg
train,bare_pcb,pku,/home/vector/Documents/abdullah_workspace/PCB_Defect_Dectection/pcb_vs_pcba_dataset/train/bare_pcb/pku_11_short_08_5.jpg
train,bare_pcb,deeppcb,/home/vector/Documents/abdullah_workspace/PCB_Defect_Dectection/pcb_vs_pcba_dataset/train/bare_pcb/deeppcb_12300120_test_6.jpg
train,bare_pcb,deeppcb,/home/vector/Documents/abdullah_workspace/PCB_Defect_Dectection/pcb_vs_pcba_dataset/train/bare_pcb/deeppcb_20085312_test_7.jpg
train,bare_pcb,deeppcb,/home/vector/Documents/abdullah_workspace/PCB_Defect_Dectection/pcb_vs_pcba_dataset/train/bare_pcb/deeppcb_12100029_test_8.jpg
train,bare_pcb,deeppcb,/home/vector/Documents/abdullah_workspace/PCB_Defect_Dectection/pcb_vs_pcba_dataset/train/bare_pcb/deeppcb_92000008_test_9.jpg
train,bare_pcb,deeppcb,/home/vector/Documents/abdullah_workspace/PCB_Defect_Dectection/pcb_vs_pcba_dataset/train/bare_pcb/deeppcb_44000041_test_10.jpg
train,bare_pcb,deeppcb,/home/vector/Documents/abdullah_workspace/PCB_Defect_Dectection/pcb_vs_pcba_dataset/train/bare_pcb/deeppcb_00041192_test_11.jpg
train,bare_pcb,deeppcb,/home/vector/Documents/abdullah_workspace/PCB_Defect_Dectection/pcb_vs_pcba_dataset/train/bare_pcb/deeppcb_50600003_test_12.jpg
train,bare_pcb,deeppcb,/home/vector/Documents/abdullah_workspace/PCB_Defect_Dectection/pcb_vs_pcba_dataset/train/bare_pcb/deeppcb_13000175_temp_13.jpg
train,bare_pcb,deeppcb,/home/vector/Documents/abdullah_workspace/PCB_Defect_Dectection/pcb_vs_pcba_dataset/train/bare_pcb/deeppcb_00041216_test_14.jpg
train,bare_pcb,deeppcb,/home/vector/Documents/abdullah_workspace/PCB_Defect_Dectection/pcb_vs_pcba_dataset/train/bare_pcb/deeppcb_12100064_test_15.jpg
train,bare_pcb,deeppcb,/home/vector/Documents/abdullah_workspace/PCB_Defect_Dectection/pcb_vs_pcba_dataset/train/bare_pcb/deeppcb_12300137_test_16.jpg
train,bare_pcb,deeppcb,/home/vector/Documents/abdullah_workspace/PCB_Defect_Dectection/pcb_vs_pcba_dataset/train/bare_pcb/deeppcb_12300245_temp_17.jpg
